name,address,location,cuisines,rating,votes,average_cost_two,budget_tier,online_order,book_table,rest_type,is_pure_vegetarian,serves_alcohol,is_family_friendly,is_spicy_food,is_quick_service,reviews_sample
Nandhanus Rasoi,"#2035, 26th Main, South F Cross, Opposite Ragi Gudda Temple, 9th Block, Jayanagar, Bangalore",Jayanagar,"Chinese, Rolls, North Indian",3.4,9,200.0,low,Yes,No,Quick Bites,False,False,False,False,True,"[('Rated 1.0', ""RATED\n  Horrible tawa palau rice was too Worst ..two days before prepared may be I never thought I could get such worst good..Please don't order anything in this restaurant..""), ('Rated 5.0', 'RATED\n  Ordered the Bombay Tawa Pulao Combo! Quite unique and the taste is very authentic. Definitely recommend this place! Coming back to explore more for sure.'), ('Rated 1.0', ""RATED\n  Worst friench fries. Fries are soggy non salted and i think fries are not even fried . Don't order fries in this restaurant . Parata was at least eatable ."")]"
Donne Biriyani Mane,"No. 357/9, Opp DLF, New Town, Akshay Nagar, Bannerghatta Road, Bangalore",Bannerghatta Road,Biryani,3.2,6,350.0,low,Yes,No,Quick Bites,False,False,False,False,True,"[('Rated 3.0', 'RATED\n  Value for money. Must try. Service was good. Parking was a bit hectic. Vallat parking would have helped a lot. I loved the intereriora. Staff could be little courteous.')]"
Fish And Dish,"Jambunagar 1st cross, 8th Phase, Opposite Water Tank, Near Jambusawaridinne Bus Stand, JP Nagar, Bangalore",JP Nagar,"Mangalorean, Chinese",3.6,22,350.0,low,Yes,No,Quick Bites,False,False,False,True,True,"[('Rated 2.0', 'RATED\n  When the ""Special instructions"" have no value, why to give it in a first place.\nThe Food was real spicy when it was mentioned to make it non-spicy.\n\nThe taste was so-so and the delivery was perfect.'), ('Rated 3.0', ""RATED\n  Good pocket friendly place. Options are limited and only nonveg. Serves Mangalorean cuisine. It's a welcome addition as there are not many restaurants around.""), ('Rated 5.0', 'RATED\n  I am a manglorean ..!!! Strickly non vegetarian ... ItÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s been 3 years in bngl now trust me I felt home today .. a"
Miss Momo,"17th Main Rd, BTM 2nd Stage, Kuvempu Nagar, BTM, Bangalore",BTM,"Tibetan, Momos",3.2,12,250.0,low,Yes,No,Quick Bites,False,False,False,True,True,"[('Rated 2.0', 'RATED\n  Had ordered tandoori veg momo and veg momo well initially when I started digging into the tandoori momos thought it was great with that flavor coated on top but the realized all that it had was just flour (skin of the momo) ... just thick flour layer it had absolutely no taste else wise and the filling also was negligible quantity the veg momos was absolutely bad had no flavor no filling as such ! They should definitely try to make it better.'), ('Rated 3.0', 'RATED\n  Tried Miss Momo recently. We ordered the Veg Tandoori Momo at home through a popular food delivery ap"
Funky Punjab,"746, 7th cross, 13th Main, BTM, Bangalore",BTM,"North Indian, Chinese",3.9,124,400.0,medium,Yes,No,Quick Bites,False,False,False,True,True,"[('Rated 4.0', ""RATED\n  A joint for authentic punjabi food and I love their taste and the type of food they serve\nTheir amritsari kulchas are to taste always I love the aloo and paneer one serves with chole and chutney\nIt's yummy\nService is good\nVery pocket friendly\nAlso dal makhani should be a must to try""), ('Rated 4.0', 'RATED\n  A little place situated in BTM 2nd stage, affordable, good North Indian flavours.\n\nWe had masala chaap, masala papad, kadai paneer, amritsari chole, lassi and I liked it all. Recommended for North Indian food lovers. Food on spicy side but perfect if you ar"
Intalia,"81/3/4, 5th Cross, Opposite Royal Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",Bannerghatta Road,"Pizza, Italian",3.6,323,800.0,medium,Yes,No,Food Court,False,False,False,False,True,[]
Chicken County Restaurant,"#16 and #17, RR Commercial Complex, Begur-Hulimavu Road, Opposite Village Hypermarket & Andhra Bank, Akshay Nagar, Bannerghatta Road, Bangalore",Bannerghatta Road,"North Indian, Chinese, Fast Food",3.5,10,400.0,medium,Yes,No,Casual Dining,False,False,True,True,False,"[('Rated 3.0', 'RATED\n  Food Quality was OK... Biryani was not meeting expectation'), ('Rated 5.0', 'RATED\n  Awesome taste and price. I just love it. We have lot of choices to select. Service is perfect. Perfect place to go with family. I really like it and refer to my frnds and family'), ('Rated 4.0', 'RATED\n  Tried tandoori chicken, methi chicken and shawarma roles, all were good, loved the methi chicken the most and it was the least spicy dish they had. Food is a little spicy here so be sure to mention less spicy if u donÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92t eat spicy food!! "
Velvet Kitchen,"Shop 4 & 5, Vajrappa Building , Shantiniketan Main Road, Arekere, Bannerghatta Road, Bangalore",Bannerghatta Road,"North Indian, Chinese",3.5,15,600.0,medium,Yes,No,Casual Dining,False,False,True,True,True,"[('Rated 4.0', ""RATED\n  Sells amazing comfort food like Palak Khichdi and Chilli Chicken.\n\nA must have dish from this humble place is their Tomato Bharta - a couple of tomatoes that are smoked inside a tandoor, and then cooked along with all spices. Goes amazingly well with Jeera Rice. They deliver very fast. Can't sit and eat in the restaurant as it is very small and cramped, but the food is simply superb if you want to order a takeaway for the evening.\n\nAnother good thing about this place is that they do not stop serving food post 3pm like many restaurants. You can order lunch at 5pm as"
Hotel Aradhana,"193, N.S. Pallya, Bannerghatta Road, Bangalore",Bannerghatta Road,North Indian,3.7,51,300.0,low,Yes,No,Quick Bites,False,True,True,True,True,"[('Rated 4.0', 'RATED\n  Aradhana serves yummy pork dishes,,, Its so well cooked and most of the time i feel a homely touch. They give enough sides with it like onions and other gravies. Even there mutton curry was awesome.. well cooked'), ('Rated 2.0', ""RATED\n  Packing was ok, taste wasn't that good, as it's a non veg hotel, so veg doesn't taste that great maybe slightly above average. Quantity is hopeless. Paying so much is for nothing nor the taste or quantity""), ('Rated 5.0', 'RATED\n  This restaurant is located beside Girias and is on the first floor. Service is fast for takeaway, you ha"
The Chervil,"11-12/49, First Floor, 14th Main, Puttenahalli Road, Kothnur Main Road, Beside Brigade Millenium, 7th Stage, JP Nagar, Bangalore",JP Nagar,"North Indian, Continental",4.2,229,1000.0,medium,Yes,No,Casual Dining,False,True,True,True,True,"[('Rated 1.0', 'RATED\n  Food is good but our experience with restaurant management was pathetic. They forced us to pay service charge stating that they are providing ac,good ambience,table service etc etc. Also they have put a board at the entrance that service charge(10%) is mandatory. Where in our tax rules states that service charge is mandatory. But at Chervil you are bound to pay sgst, cgst, service charge. I will never recommend this place to anyone. Also i will be posting this to Twitter and other social sites so that strong action can be taken.'), ('Rated 5.0', ""RATED\n  Got to know a"
Eatsomnia,"Building 58, New 3, A Main Road Marenahalli, JP Nagar, Bangalore",JP Nagar,"North Indian, South Indian, Chinese, Continental",0.0,0,500.0,medium,Yes,No,Delivery,False,False,False,True,False,"[('Rated 5.0', 'RATED\n  I loved the food,properly packed and it was a fantastic meal.Just a small suggestion though,the Honey Chilli Chicken was too sweet,give it a slightly spicy tinge.'), ('Rated 1.0', 'RATED\n  The quality of the chicken was not at all good, not cooked properly and also was smelling.\nThe chilli garlic noodles was not as bad as the chicken'), ('Rated 1.0', ""RATED\n  this restaurant sucks, I ordered chicken fried rice from here and it tasted kinda spoilt and the amount of onion they put in it is a lot. OMG. never ever order chicken fried rice from this place. y'all wont lik"
Sri Rajasthani Foods,"146, Marenahalli Road, 3rd Phase JP Nagar, Bangalore, Bengaluru",JP Nagar,"Rajasthani, North Indian",3.6,8,200.0,low,Yes,No,Quick Bites,False,False,False,False,True,"[('Rated 5.0', 'RATED\n  Paneer Paratha is really really good.\nOrdered online as well as went to eat as well. Not sure about other stuff but paneer Paratha is worth it.'), ('Rated 5.0', 'RATED\n  Best dal bati in bangalore. It is very hard to find a good home style dal bati here in bangalore and I must say this is best place for it. from past three continuous weeks I am ordering dal bati from this place.\n\nHomely taste, value for money what else you want'), ('Rated 3.0', 'RATED\n  quantity is good.')]"
New Royal Treat,"8/3, Opposite St. Thomas Parish Hall, 4th Cross, Bhavani Layout, Bannerghatta Road, Bangalore",Bannerghatta Road,"North Indian, Chinese",2.8,102,350.0,low,Yes,No,Quick Bites,False,False,True,False,True,"[('Rated 4.0', 'RATED\n  taste similar to other places...'), ('Rated 5.0', 'RATED\n  Friendly staffs, polite gesture towards customer. Tasty food and good quality. The manager knows how to behave with customers. Foods are not so expensive but tasty.'), ('Rated 1.0', 'RATED\n  It was horrible.'), ('Rated 1.0', 'RATED\n  Food was not at all nice I thrower that food into dustbin'), ('Rated 4.0', 'RATED\n  its better then last time'), ('Rated 1.0', 'RATED\n  Food was very worst never ever choose this hotel'), ('Rated 2.0', 'RATED\n  dint received full combo of what i ordered...'), ('Rated 1.0', 'R"
I Cool,"14/1, 23rd Main Road, Nagaraja Garden, JP Nagar, Bangalore",JP Nagar,"Juices, Fast Food",4.0,76,150.0,low,Yes,No,Quick Bites,False,False,True,True,True,"[('Rated 1.0', 'RATED\n  Ordered Mosambi Juice it was way too sweet just like a sugar syrup with no taste of the fruit. Also the juice was spilled over due to poor packing..'), ('Rated 2.0', 'RATED\n  spilled shake'), ('Rated 1.0', 'RATED\n  The Maggie was not prepared at all'), ('Rated 3.0', 'RATED\n  not too bad and not great either'), ('Rated 5.0', ""RATED\n  Shawarma is amazing best in JP Nagar infact . It's hygeine and pocket friendly as well !! If ur in JP Nagar it's a must visit place !! I would give all the stars possible""), ('Rated 5.0', 'RATED\n  good item fabulous'), ('Rated 5.0', 'R"
The Kitchen,"2, Near Brigade Millennium, Opposite RBI Layout Water Tank, 7th Phase, JP Nagar, Bangalore",JP Nagar,"North Indian, Andhra, Chinese",0.0,0,800.0,medium,Yes,No,Casual Dining,False,False,True,False,False,[]
Mahek Pizza,"24th Main, 5th Phase, JP Nagar, Bangalore",JP Nagar,Pizza,3.9,38,400.0,medium,Yes,No,Quick Bites,False,False,False,True,True,"[('Rated 1.0', 'RATED\n  Worst packing, all the cheese went completely out of pizza'), ('Rated 5.0', 'RATED\n  ItÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s completely Home made pizza and the range of pizza is very good you can have any pizza with your favourite topping without compromising one topping with another ?? awesome taste of pizza sauce and it is purely veg itÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s a good news for all vegetarians out there ?'), ('Rated 5.0', 'RATED\n  This place is very near to my home pizza is awesome no doubt but in zomato rates are to high like 110"
Asha Sweets Centre,"9, 24th Main, 4th Cross, Marenahalli Village, 2nd Phase, JP Nagar, Bangalore",JP Nagar,Fast Food,3.9,42,250.0,low,Yes,No,Dessert Parlor,False,True,True,False,True,"[('Rated 1.0', 'RATED\n  Bad, Ordered Online , Kaju Burfi was more like a Stone ,Waste of money\nThinking as when it was prepared.\nWill never order again                     .'), ('Rated 4.0', 'RATED\n  This place is very beautiful, as their sweet, here you get chaat& sweet, my favourite are masala poori,pav bhaji,andmoong dal halwa\nCoconut biscuits, muffins, chocolate milkshake'), ('Rated 3.5', 'RATED\n  We used to visit this place for some quick Bengali sweets and chats. They have more of North Indian Chats which are really good. The sweets we have tried are mostly Bengali and they were re"
KC Das- Sweet World,"54/48, Shivani Building, Next to IBP Petrol Pump, 7th Phase, JP Nagar, Bangalore",JP Nagar,"Mithai, Street Food",3.3,5,200.0,low,Yes,No,"Sweet Shop, Quick Bites",False,False,False,True,True,[]
Stoned Monkey,"290, 15th Cross, 5th phase, JP Nagar, Bangalore",JP Nagar,"Desserts, Ice Cream",3.9,239,500.0,medium,Yes,No,Dessert Parlor,False,False,False,False,False,"[('Rated 4.0', 'RATED\n  Got this delicious paan banaras which is a must have here. the quality of gulkand was fresh and the guy topped it with some extra dates and almonds to seal the deal for me.\nOnly con: the cup size should have been a little bigger.\nThis brings down the last star!'), ('Rated 4.0', 'RATED\n  Ambience was good but not that spacious\nA nice themed with a monkey pic\nStoned ice creams are little overpriced but presentation was k.the other branch was better compered to this I felt.'), ('Rated 3.0', 'RATED\n  Presentation and taste are two things that matter to all connoisseu"
Panther Cafe,"746, 13th Main Road, 7th Cross Road, 2nd Stage, BTM, Bangalore",BTM,Beverages,3.5,8,200.0,low,Yes,No,Beverage Shop,False,False,False,False,False,"[('Rated 5.0', ""RATED\n  If you are cold coffee lover then this the best place in entire BTM, taste is amazing and best part it's not diluted and rates are very economical.COFFEloverMUSTvisitTHISplace ?""), ('Rated 5.0', 'RATED\n  It was 1st time I was passing by & tried Mocha frappe it was awesome , the shake was fully pure of milk & taste was good, worthy buying ....'), ('Rated 5.0', 'RATED\n  Today I ordered two butterscotch shakes, the taste was really good, packaging was also nice in reasonable price. I keep ordering from this shop regularly. Worth trying'), ('Rated 5.0', 'RATED\n  I have "
Udupi Upachar,"8, 17th Cross, 15th Main Road, Nanjundeswara Layout, J P Nagar Phase 5, JP Nagar, Bangalore",JP Nagar,"South Indian, North Indian, Chinese, Street Food",3.3,12,300.0,low,Yes,No,Quick Bites,False,False,False,False,True,"[('Rated 1.0', 'RATED\n  Worst food ,no proper service ,no proper staff ...please donÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92t go to this hotel.i had been here and people here just to make money ...order dal khichadi and they gave me dal tadka...chats they have started recently it is such a worst chat a people can have'), ('Rated 1.0', 'RATED\n  There is no hygienic here in this hotel, you will find the dirt inside their kitchen all over, they scrub their hands all over their body and make dosa batter , serve idli, and rude people as well, be prepared to fall ill if you are visiting he"
Lassi Ghar,"3957/1, Gottigere, Bannerghatta Road, Bangalore",Bannerghatta Road,"Beverages, Ice Cream, Juices, Sandwich",0.0,0,150.0,low,Yes,No,Beverage Shop,False,False,False,False,False,[]
Authentic Aandhra,"Shop 73, 22nd cross, 16th Main BTM 2nd Stage, Near Royal Enfield Showroom, BTM, Bangalore",BTM,"Andhra, North Indian",0.0,0,300.0,low,Yes,No,Delivery,False,False,False,True,False,"[('Rated 5.0', 'RATED\n  Very polite people and very good taste, very well maintenance, real Hyderabadi dum biryani\nFinally I got a place to taste the spicy South Indian dishes in btm ?')]"
Juicy Momos,"QSR -1, 3rd Floor, Vega City Mall, Srinivas Industrial Estate, Bannerghatta Road, Bangalore",Bannerghatta Road,"Tibetan, Momos",3.1,21,250.0,low,Yes,No,Food Court,False,False,False,False,True,"[('Rated 3.0', ""RATED\n  This place is located in vega city mall and easy accessible location..\n\nSmall and Cute place to hangout with friends? coming to momos it's not that great and pricing is normal ; nothing much to say.. service is good and staff are good..""), ('Rated 4.0', 'RATED\n  Myself and my wife visited this joint inside Vega City Mall. Loved their vegetarian momos range. Wanted to try thugpa, unfortunately it was all sold out. Shall definitely be there for thugpa. Kudos!')]"
Roots n Fruits,"Phase 7, JP Nagar, Bangalore",JP Nagar,"Beverages, Juices, Healthy Food",3.6,13,250.0,low,Yes,No,Beverage Shop,False,False,False,False,False,"[('Rated 4.0', 'RATED\n  Wanted to try out this new place in JP Nagar. The range is great. The drinks are fresh organic and healthy. They are not heavily loaded with carbs. The drinks are extremely tasty.')]"
Indian Desi Momo,"Devarachikkanahalli Main Road, Kaveri Nagar, Hongasandra, Near Bommanahalli, Bangalore",Bommanahalli,Momos,0.0,0,200.0,low,Yes,No,Takeaway,False,False,False,False,True,[]
Kaizen Wellness Kitchen,"72/A, 3rd Floor, Bangalore 15th Cross Road 100 Feet Ring Road, JP Nagar, Bangalore",JP Nagar,"Asian, Continental, European",3.7,37,800.0,medium,Yes,No,Casual Dining,False,False,True,True,False,"[('Rated 4.0', 'RATED\n  Me and my friend were looking for a healthy eating option, hence decided to give this place a try. Ordered Chiang Mai Curry Paneer & Phi Phi Curry tofu. It was truly filling and satisfying. Absolutely loved it. The dish looked and tasted awesome. Initially felt itÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s a bit pricey but totally worth every penny.')]"
Big Mishra Pedha,"116, Royal Residency, Near Sai Baba Temple, Bannerghatta Road, Bangalore",Bannerghatta Road,"Mithai, Desserts, Fast Food",3.3,7,300.0,low,Yes,No,Sweet Shop,False,True,False,True,False,"[('Rated 5.0', ""RATED\n  Very good ambience and great service and cocktails... Specially Saju made a Pehala Nesha it's was awesome..... Special thanks to Arunachalm and Ajay......""), ('Rated 3.0', ""RATED\n  The staffs are very helpful and communicative.\nIt happened to be late at 9:30 pm when my cravings for sweets started and I landed up in Big Mishra's sweet shop..\nVariety of sweets presented 10/10\nAmbience 9/10\nUnfortunately I received sour rashogollas which was smelling, the lencha which is long sized jamun had more sweetness consistency which would be 5/10\nCleanliness 1/10 It can be a"
Mad Over Donuts,"3rd Floor, Royal Meenakshi Mall, Bannerghatta Road, Bangalore",Bannerghatta Road,"Bakery, Desserts, Beverages",3.1,17,450.0,medium,Yes,No,Dessert Parlor,False,False,False,False,False,"[('Rated 4.0', 'RATED\n  Received a pack of 18 signature donuts from a friend. I must say they were more refined than the other donuts and less sugary. And they were small pop donuts, making it easier to have more variety. Though they all tasted good, but I feel the tastes can be a little more disntictive, especially the chocolate variants.'), ('Rated 4.0', ""RATED\n  Ordered assorted doughnuts, pack of 6, buy 5 and get one free. Ordered via Zomato after selecting 6 flavours, got a call back immediately that 3 out of 6 flavours I chose aren't available and I should choose some other flavours be"
Kolkata Famous Kati Rolls,"Opposite IBM, Near Big Bazar, Bannerghatta Road, Bangalore",Bannerghatta Road,"Fast Food, Rolls",3.1,25,100.0,low,Yes,No,"Takeaway, Delivery",False,False,False,False,True,"[('Rated 5.0', 'RATED\n  polite and good service'), ('Rated 4.0', 'RATED\n  good roles'), ('Rated 1.0', 'RATED\n  verry bad worst packing'), ('Rated 5.0', 'RATED\n  food was so delicious. ? thank you so much'), ('Rated 1.0', 'RATED\n  not so great food'), ('Rated 1.0', 'RATED\n  Ordered chicken roll recieved egg roll instead ..!! Totally disappointed with the order ..! If you want i can send the pic of egg roll..!! Want refund for the order'), ('Rated 5.0', 'RATED\n  Food taste was awesome but kindly change the paper because it was stick to the roll'), ('Rated 1.0', 'RATED\n  chicken was smell"
Vinaya Cafe,"30, 33rd Main, 16th Cross, 6th Phase, JP Nagar, Bangalore",JP Nagar,"South Indian, Street Food, Juices",3.7,55,200.0,low,Yes,No,Quick Bites,False,True,True,True,True,"[('Rated 5.0', 'RATED\n  Very kind staff and owner good taste. The akki rotti and ragi rotti is very good. North Indian dishes are also great specially baby corn manchurian'), ('Rated 2.0', 'RATED\n  Ordered 3 plates and got only 1 plate idli. And telling single idli is missing. Zomato also not at all concerned about this and telling they ll give credit of 25 points. Last Zomato order in my life.. not providing refund to my account.'), ('Rated 3.0', 'RATED\n  Even after paying money via debit card through the app, the people have problem in doubly confirming calling again and again. Useless bu"
RBP Greens Garden,"67, 13th Main, Mahadeshwara Nagar, NS Palya, 2nd Stage, BTM, Bangalore",BTM,"North Indian, Chinese",2.7,48,700.0,medium,Yes,No,Casual Dining,False,False,True,False,False,"[('Rated 4.0', 'RATED\n  Very nice place.. with very good food and drinks nice ambience for just guys .\nThis is really a nice place down for weekend. Good place for nice food and drinks.')]"
Supreme Biryani,Delivery Only,South Bangalore,Biryani,0.0,0,400.0,medium,Yes,No,"Takeaway, Delivery",False,False,False,False,True,[]
Dazu Momoz,"Near SNN Raj Serenity, Besides Medplus Off Begur Main Road, Bannerghatta Road, Bangalore",Bannerghatta Road,"Tibetan, Momos",3.1,8,200.0,low,Yes,No,Kiosk,False,False,False,True,True,"[('Rated 4.0', 'RATED\n  I feel this kiosk is a bit underrated at this point. Of all the momo kiosks that have mushroomed lately, this one definitely is better than the others, in this area. Stuffing is adequate; most places tend to only add chicken fat and onion and this isnt, at least as of now! The soup is also nice but seems is served only when asked :-)'), ('Rated 2.0', 'RATED\n  Just a basic and simple filling based momo.\nFilling was all right ,nothing special. The casing was of quite low quality,lacking taste.\nPrice point for 8 momos was the saving grace .'), ('Rated 5.0', 'RATED\n  O"
Desi Dhaba,"16th Main Road, 1st Stage, 1st Phase, BTM, Bangalore",BTM,"North Indian, Chinese",3.3,13,400.0,medium,Yes,No,Delivery,False,False,False,False,False,"[('Rated 1.0', 'RATED\n  so much rice that three people can eat and so less chicken (just 4 pieces for meal worth 220) thats not sufficient for a single person. if I needed too much rice, I would have ordered white rice instead of a meal which would have cost me very less. and these people also do not mention the list of items in the meal on their menu which makes it hard to choose'), ('Rated 1.0', 'RATED\n  i had ordered viz Zomato and had opted for pick up. after reaching at the hotel address specified by zomato, Later i was asked to redirect to other location which was 3 kms far away. PATHE"
World of Waffles,"4, South End B Road, 9th Block, JP Nagar, Bangalore",JP Nagar,Desserts,3.9,178,400.0,medium,Yes,No,Dessert Parlor,False,False,False,False,True,"[('Rated 4.0', 'RATED\n  Waffles here are Sooooo good!\nDamn satisfactory.\nBelgian chocolate Sizzler 4.5/5\nBlue fantasy 5/5\nChocolate overloaded 4/5\nBanana Nutella 3.5/5\nAnd they are very polite too.'), ('Rated 5.0', 'RATED\n  This is a cozy little place, with a small seating area! We went here during Christmas, so it was nicely decorated. We ordered 2 waffle sundaes: fudge feelings and ferrero rocher. One was the classic chocolaty waffle and other one had the flavors of ferrero rocher. Both were delightful. Loved it.'), ('Rated 4.0', ""RATED\n  This place is in a smaller road next to Cent"
Pika's Kitchen,"Shop 2, Ground Floor, Shree Durga Complex, Nobel Residency Road, Off Begur Main Road, Bannerghatta Road, Bangalore",Bannerghatta Road,"Continental, Italian",3.4,24,800.0,medium,Yes,No,Casual Dining,False,True,True,True,True,"[('Rated 5.0', ""RATED\n  Ordered Sabudana vada and Sabudana khichadi. These are excellent and reminded me of the authentic mumbai taste. Can't wait to visit the place and try their continental fare.""), ('Rated 5.0', 'RATED\n  Very good place, very friend, most importantly great food, must try. I had tasted our farm house special pizza and corn and cottage cheese steak. Both were tasty.'), ('Rated 2.0', 'RATED\n  This 2 star rating has only be given to the Chicken Tikka Topping on Chicken Tikka Pizza. Rest everything was horrible right from packaging to crust. The pizza was messed up in the box"
Dilli ??,Delivery Only,South Bangalore,North Indian,0.0,0,500.0,medium,Yes,No,Delivery,False,False,False,True,False,"[('Rated 5.0', 'RATED\n  Loved the food, very authentic and honest. Seems to be a proper tandoor place as the rotis, naan and tikka masala were delicious while the dal tadka and sabji of the day were just good, say a 7/10.'), ('Rated 1.0', ""RATED\n  I ordered food thinking its a new place and you guys would send a good meal considering you're setting up but the dal makhani was literally water and spices. Please improve your quality of food for the money that you're taking"")]"
Lassi Cafe,"Indira Gandhi Housing Colony, Arekere, Bannerghatta Road, Bengaluru",Bannerghatta Road,"Beverages, Ice Cream",3.4,16,150.0,low,Yes,No,Beverage Shop,False,False,False,False,False,"[('Rated 1.0', 'RATED\n  Lassi cafe is a fake of branded chain Lassi Shop. Also shows up on their service and food. Really bad service and poor quality good too.\nI went to this place for the first time and was disappointed with what they offer. Veg grill didnÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92t have any veggies but few thin slices of onions, cabbage and mayo. The veggies were really old and was taken from the freezer . Would never recommend this.')]"
The London Shakes,"10/20, 100 Feet Ring Road, Next to HDFC Bank, Near 9th A Main, 1st Stage, BTM Layout, Bangalore",BTM,"Beverages, Fast Food, Italian",0.0,0,400.0,medium,Yes,No,Beverage Shop,False,False,True,False,False,"[('Rated 5.0', ""RATED\n  Really good food I tasted waffles with ?? good combination don't miss try it orders available in Zomoto up to 3 Am\n\n# London shakes # tasty""), ('Rated 5.0', 'RATED\n  I personally recommend to people to visit this place as they have unique taste. This is one of the best place to chill out with friends and family'), ('Rated 5.0', ""RATED\n  It's really good place\nto spend time with snacks wit full of higenic and milk shakes, fries, Pasta are really good. Ambiance is really nice. Good place to hangout for couples & family.""), ('Rated 5.0', 'RATED\n  Beautiful place to "
New Mogul Empire,"176/3, Bilekahalli, Dollars Layout, Bannerghata Main Road, JP Nagar 4th Phase, JP Nagar, Bangalore",JP Nagar,"North Indian, Chinese",3.4,5,300.0,low,Yes,No,Quick Bites,False,False,False,False,True,[]
Atithi Biryani Corner,"177, Kothanur Main Road, 8th Phase, JP Nagar, Bangalore",JP Nagar,"Biryani, South Indian",3.3,4,200.0,low,Yes,No,Quick Bites,False,False,False,False,True,"[('Rated 5.0', ""RATED\n  Very good quality food also very much tasty food i really love this hotel food I'm always ordering this hotel food only atithi biriyani is very good thank you""), ('Rated 4.0', 'RATED\n  A good place to hang out when on the run. Would like to inform that great standards of quality are maintained. Not ideal to dine. Very Courteous Staff.'), ('Rated 5.0', 'RATED\n  Awesome Biryani & kababs. Fish fry is yummy I am always eating athithi Biryani Cornar.very neat & clean.quality.... & quantity.. Is nice\n.............. ..............................................')]"
Oottupura Family Restaurant,"Opposite Shell Petrol Bunk, Gottigare Bannerghatta Road, Bangalore",Bannerghatta Road,"Kerala, South Indian, Biryani",3.4,224,400.0,medium,Yes,No,Quick Bites,False,True,False,True,True,"[('Rated 4.0', 'RATED\n  Reviewing solely on the delivery. We had ordered Chicken Malabar biryani which was good. Quiet similar to the one you get in kerela. Prawns roast was good too but lacked salt. The quantity was abysmal. Good part was the delivery in time. I would definitely try more from this restaurant.'), ('Rated 2.0', 'RATED\n  Ambience - 3/5  Food - 2.5/5  Service 2/5  VFM - 3/5  Parking - Available\n\nWent to this place one Sunday morning a couple months ago for breakfast. The owner was friendly and helped with the parking.Though the place was hardly crowded, service took a long ti"
Yumme Veg,"Shop 3/4, 108, 4th Main, 3rd Cross, Arekere Mico Layout, 2nd Stage",Bannerghatta Road,"Fast Food, Street Food",3.6,14,200.0,low,Yes,No,"Takeaway, Delivery",True,False,False,False,True,"[('Rated 4.0', 'RATED\n  I see the major reviews for this place is for delivery.\n\nBut believe me guys, if you are at the place your experience will be different. ItÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s all about expectations.\n\nA small place with no seating available serving pure veg food till late night as per bangalore standards is a very challenging task they are doing and kudos to them for this.\n\nI visited this place on a Sunday night when most of the options were closed and they too were about too. I ordered Cheese aloo tiki burger and classic vada pav just one piece for "
Shree Guru Raghavendra Chats Chintamani Special,"130/133, Aragini Comforts, 2nd Cross, Pai Layout, Hulimavu, Bannerghatta Road, Bangalore",Bannerghatta Road,"Street Food, Fast Food",3.6,26,200.0,low,Yes,No,Quick Bites,False,False,False,True,True,"[('Rated 5.0', ""RATED\n  Just now had pani Puri and nippat masala it was too good. I recommend this. Reasonable and tasty ?\nDo try pani Puri 2 in 1 and nannari juice it's too good""), ('Rated 4.0', 'RATED\n  I just ordered masala maggi !! It was really gud !!\nI was satisfied with the taste!! I like to have spicy food and i got as expected !! Truely nice !! U can enjoy ur evening!!?'), ('Rated 3.0', ""RATED\n  A decent and very very reasonable place to go out for weekday snacks. The chaat here, I would is 'okay' as it it not that spicy and chatpata. But if one likes less spicy and a lil bland t"
Vyanjan,"744, 13th Main, 7th Cross, BTM 2nd Stage, BTM, Bangalore",BTM,"North Indian, Street Food",3.9,199,300.0,low,Yes,No,Quick Bites,False,False,False,False,True,"[('Rated 3.0', ""RATED\n  Nice place, it's for Ur everyday home food needs, it's veg, the sabjis are really tasty, Sev tamatar is pretty good, dal is lip smacking , dal kichdi is yum, I can go on, bottom line food is pretty good, u walk out with a smile ...pricing is pretty good as well, poha and jalebis are addictive ... the staff can be a bit polite ...."")]"
